Added,Custom ArrayList,Builtin ArrayList
1,1.70E-06,9.80E-06
2,8.00E-07,2.10E-06
4,5.00E-07,1.60E-06
8,6.00E-07,1.80E-06
16,5.40E-06,6.40E-06
32,2.10E-06,7.60E-06
64,4.70E-06,1.04E-05
128,6.10E-06,1.76E-05
256,1.21E-05,5.19E-05
512,2.77E-05,7.63E-05
1024,4.18E-05,1.52E-04
2048,8.62E-05,3.27E-04
4096,1.58E-04,5.61E-04
8192,3.16E-04,5.66E-04
16384,4.50E-04,7.00E-04
32768,7.22E-04,0.001479
65536,6.94E-04,0.0017782
131072,0.0010517,0.003165
262144,0.0016336,0.0066903
524288,0.0043906,0.0071283
1048576,0.0057608,0.0212302
2097152,0.01214,0.0412694
4194304,0.0245369,0.1233992
8388608,0.0503416,0.1894225
16777216,0.0974041,0.6088489
33554432,0.1338964,1.0073246
67108864,0.2367688,2.5542845
134217728,0.6187182,5.2560903
268435456,1.2893242,8.4316865
536870912,2.2445581,28.4737364
