Items,Checks,Swaps,Time (ms)
1.0,0,0,0.0
2.0,1,2,0.0
4.0,4,5,0.0
8.0,19,14,0.0
16.0,46,37,0.0
32.0,135,85,0.0
64.0,333,186,0.0
128.0,964,648,0.0
256.0,2051,1336,0.0
512.0,4778,2850,1.0
1024.0,10751,5912,0.0
2048.0,25692,14577,0.0
4096.0,53071,27763,1.0
8192.0,123741,67153,2.0
16384.0,275275,132272,2.0
32768.0,607493,295867,3.0
65536.0,1345760,664560,6.0
131072.0,2854786,1484678,11.0
262144.0,6165980,3542141,30.0
524288.0,11843380,6335863,57.0
1048576.0,25819838,13174472,126.0
2097152.0,56578653,29597916,241
