Items,Checks,Swaps,Time (ms)
1.0,0,0,0.0
2.0,1,1,0.0
4.0,0,0,0.0
8.0,21,11,0.0
16.0,210,50,0.0
32.0,682,199,0.0
64.0,3528,1081,0.0
128.0,14732,3840,0.0
256.0,59925,17931,0.0
512.0,259077,63243,7.0
1024.0,987195,260271,5.0
2048.0,4081718,1036880,8.0
4096.0,16367715,4167291,90.0
8192.0,66650167,16792787,234.0
16384.0,266207367,68073466,423.0
32768.0,1070301288,268779469,1620.0
65536.0,4274389305,1070350608,6482.0
131072.0,17163747450,4291277577,25162.0
262144.0,68670455994,17213062592,106710.0
524288.0,274632540627,68780412187,436192.0
