Items,Checks,Swaps,Time (ms)
1.0,0,0,0.0
2.0,3,1,0.0
4.0,9,2,0.0
8.0,48,18,0.0
16.0,169,71,0.0
32.0,582,261,0.0
64.0,2096,986,0.0
128.0,9105,4428,0.0
256.0,35174,17335,0.0
512.0,134911,66947,3.0
1024.0,510015,253988,0.0
2048.0,2090036,1042975,5.0
4096.0,8273034,4132425,0.0
8192.0,33795416,16889524,22.0
16384.0,135288672,67627960,58.0
32768.0,537482601,268708540,241.0
65536.0,2149486019,1074677479,911.0
131072.0,8591740316,4295739092,4341.0
262144.0,34386066568,17192771147,20783.0
524288.0,137472710120,68735830779,90012.0
1048576.0,549495956175,274746929517,379295.0
