Items,Checks,Swaps,Time (ms)
1.0,0,0,0.0
2.0,0,0,0.0
4.0,3,3,0.0
8.0,16,16,0.0
16.0,46,46,0.0
32.0,257,257,0.0
64.0,632,634,0.0
128.0,1252,1256,0.0
256.0,2766,2779,0.0
512.0,6079,6107,0.0
1024.0,13237,13289,1.0
2048.0,28266,28395,0.0
4096.0,60025,60271,0.0
8192.0,128491,129018,4.0
16384.0,272989,273972,5.0
32768.0,578743,580716,10.0
65536.0,1222465,1226451,11.0
131072.0,2580181,2588110,15.0
262144.0,5425219,5441155,41.0
524288.0,11363245,11395370,63.0
1048576.0,23785276,23849558,118.0
2097152.0,49682578,49810852,281.0
4194304.0,103549167,103805622,640.0
8388608.0,215492809,216006102,1257.0
1.6777216E7,447737237,448764201,2298.0
3.3554432E7,929018632,931071910,4408.0
6.7108864E7,1925269365,1929377159,9315.0
1.34217728E8,3984769218,3992988254,21330.0
2.68435456E8,8237970658,8254403894,46958.0
5.36870912E8,17012804725,17045688518,96277.0
1.073741824E9,35099591630,35165343364,204067.0
